Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
AMNESIA DISPENSARY  ACCESSORIES - SAN MATEO - RETAIL,"2723 San Mateo Blvd NE, Suite B",Albuquerque,NM,87110,"$16,669.28","$72,640.48","$89,309.76"
EUPHORIA GROUP LLC/ RETAIL E LOHMAN,1602 E Lohman,Las Cruces,NM,88011,"$13,264.08","$29,708.27","$42,972.35"
R. GREENLEAF ORGANICS DISPENSARY,4414 Menaul Blvd. NE,Albuquerque,NM,87110,"$40,034.78","$48,195.53","$88,230.31"
EVEREST APOTHECARY,202 State St,Texico,NM,88135,"$3,769.45","$67,728.91","$71,498.36"
EVEREST APOTHECARY,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,"$3,240.77","$67,791.11","$71,031.88"
EVEREST APOTHECARY,3963 Cerrillos Rd Ste B,Santa Fe,NM,87507,"$11,809.67","$49,044.24","$60,853.91"
EVEREST APOTHECARY,1240 S Valley Dr Ste D,Las Cruces,NM,88005,"$10,243.84","$28,772.53","$39,016.37"
EVEREST APOTHECARY - RETAIL,5809 Juan Tabo,Albuquerque,NM,87111,"$17,418.81","$68,393.65","$85,812.46"
PURLIFE DISPENSARY,9800 Montgomery Blvd NE,Albuquerque,NM,87110,"$23,434.17","$60,895.55","$84,329.72"
EVEREST APOTHECARY - LAS CRUCES DISPENSARY,3841 East Lohman Ave,Las Cruces,NM,88011,"$10,807.16","$25,338.47","$36,145.63"
EVEREST APOTHECARY - LOS LUNAS DISPENSARY,"1651 Main Street, Suite E",Los Lunas,NM,87031,"$31,065.34","$85,821.69","$116,887.03"
EVEREST APOTHECARY DISPENSARY,"2201 Louisiana, Suite E",Albuquerque,NM,87110,"$16,622.12","$66,251.31","$82,873.43"
EVEREST APOTHECARY - WHITE SAGE RETAIL,4165 White Sage Arc,Las Cruces,NM,88012,"$19,290.38","$55,571.50","$74,861.88"
URBAN WELLNESS - ISLETA RETAIL,1605 Isleta Blvd Ste D,Albuquerque,NM,87105,"$27,500.18","$55,227.67","$82,727.85"
EVEREST APOTHECARY,6010 Coors Blvd Ste 3,Albuquerque,NM,87120,"$17,887.93","$64,205.52","$82,093.45"
EVEREST APOTHECARY/ RETAIL S MAIN STREET,203 S Main St,Belen,NM,87002,"$12,364.19","$24,610.04","$36,974.23"
FACTORY DIRECT PIPES REC - 7TH ST RETAIL,321 W 7th St Ste B,Clovis,NM,88101,,"$33,680.82","$33,680.82"
PROHIBITION 37 - SAN MATEO RETAIL,2621 San Mateo Blvd NE Ste B,Albuquerque,NM,87110,"$26,268.53","$52,426.59","$78,695.12"
FAMILY STRAINS 2 LLC - HWY 528 RETAIL,510 HWY 528 Ste G,Bernalillo,NM,87004,"$12,893.06","$45,558.31","$58,451.37"
FAMILY STRAINS LLC,111 Lujan Rd SE,Los Lunas,NM,87031,"$14,158.66","$40,194.32","$54,352.98"
FARMINGTON CRAFT LLC - BROADWAY RETAIL,1801 E Broadway St,Farmington,NM,87401,"$17,694.36","$73,388.33","$91,082.69"
LA MOTA NEW MEXICO LLC - 4TH ST RETAIL,2714 4th St NW,Albuquerque,NM,87107,$591.26,"$9,600.80","$10,192.06"
FCI OF NEW MEXICO - MENAUL BLVD RETAIL,4001 Menaul Blvd NE,Albuquerque,NM,87110,"$3,077.02","$14,624.26","$17,701.28"
FCI OF NEW MEXICO - SAN MATEO BLVD RETAIL,4000 San Mateo Blvd NE Ste A,Albuquerque,NM,87110,"$2,899.11","$15,678.85","$18,577.96"
LA MOTA NEW MEXICO LLC/ RETAIL INDIAN SCHOOL RD,1617 Indian School Rd,Albuquerque,NM,87104,"$1,952.44","$21,122.62","$23,075.06"
FCI OF NEW MEXICO - PICACHO AVE RETAIL,140 W Picacho Ave Unit C,Las Cruces,NM,88005,"$5,181.90","$23,006.28","$28,188.18"
LA MOTA NEW MEXICO LLC/ RETAIL AXTELL ST,3221 Axtell St,Clovis,NM,88101,"$1,393.21","$28,576.51","$29,969.72"
FCI OF NEW MEXICO - FARMINGTON RETAIL,3501 E Main St Ste 1  2,Farmington,NM,87402,"$4,293.66","$26,088.92","$30,382.58"
FCI OF NEW MEXICO - LOMAS RETAIL,1520 Lomas Blvd NW,Albuquerque,NM,87104,"$4,670.02","$26,473.39","$31,143.41"
PURLIFE RETAIL,2011 Mountain Road NW,Albuquerque,NM,87104,"$14,756.12","$56,856.64","$71,612.76"
URBAN WELLNESS - COORS RETAIL,200 Coors Blvd NW Suite D,Albuquerque,NM,87121,"$19,270.93","$52,307.32","$71,578.25"
FCI OF NEW MEXICO - ROSWELL RETAIL,2303 N Main St,Roswell,NM,88201,"$2,457.86","$30,394.68","$32,852.54"
FCI OF NEW MEXICO - ESPANOLA RETAIL,419 N Riverside Dr,Espanola,NM,87532,"$8,076.28","$29,886.46","$37,962.74"
BEFORE DAYLITE FARMS LLC - RETAIL,191 Alameda Blvd NE,Albuquerque,NM,87114,"$13,912.03","$57,023.38","$70,935.41"
FCI OF NEW MEXICO - CERRILLOS RD RETAIL,3256 Cerrillos Rd,Santa Fe,NM,87507,"$8,298.12","$35,489.72","$43,787.84"
FIELDS OF DREAMS - SUNLAND PARK RETAIL,159 Sunland Park Dr,Sunland Park,NM,88063,"$11,420.65","$1,099,186.43","$1,110,607.08"
FIELDS OF DREAMS EXPRESS LLC- 750 MAIN RETAIL,750 S Main Street,Las Cruces,NM,88001,"$6,901.37","$18,957.62","$25,858.99"
CARVER FAMILY FARM- RETAIL MICRO,8917 Adams ST NE,Albuquerque,NM,87113,"$24,349.13","$40,408.81","$64,757.94"
FLY HIGH CANNABIS LLC - SILVER HEIGHTS RETAIL,857 Silver Heights Blvd,Silver City,NM,88061,$791.33,"$1,189.75","$1,981.08"
AMNESIA DISPENSARY  ACCESSORIES,5000 Jefferson NE B,Albuquerque,NM,87109,"$10,564.82","$50,292.58","$60,857.40"
CHRONIC KINGS LLC - LOMAS BLVD RETAIL,400 Lomas Blvd NE,Albuquerque,NM,87102,"$11,826.31","$48,886.34","$60,712.65"
PECOS VALLEY PRODUCTION INC - ALAMEDA,3620 NM State Hwy 528,Albuquerque,NM,87114,"$14,216.82","$45,749.59","$59,966.41"
FREEDOM FARMS - DISPENSARY,6 Chili Plant Rd,Arrey,NM,87930,,$534.38,$534.38
FRESHBUDZ LLC - RIVERSIDE DR RETAIL,1811 N Riverside Dr Ste A,Espanola,NM,87532,"$54,576.06","$134,982.46","$189,558.52"
FRESHIES LLC/ RETAIL MCNUTT RD,5325 McNutt Rd,Santa Teresa,NM,88008,"$4,901.50","$41,784.51","$46,686.01"
"FROST STATION CANNABIS, LLC - BOSQUE FARMS BLVD RETAIL",1495 Bosque Farms Blvd,Bosque Farms,NM,87068,"$6,095.27","$13,643.20","$19,738.47"
"FROST STATION CANNABIS, LLC - HIGHWAY 85 RETAILER",508 Highway 85,Socorro,NM,87801,"$5,170.38","$12,127.77","$17,298.15"
"FROSTYS EMPORIUM, LLC- 1ST ST RETAIL",511 South 1st St.,Clayton,NM,88415,$131.45,"$8,927.23","$9,058.68"
FRUIT OF THE EARTH ORGANICS-DISPENSARY,901 Early Street,Santa Fe,NM,87505,"$36,791.17","$32,147.70","$68,938.87"
CANNACOLLC-COORS RETAIL,2528 Coors Blvd SW,Albuquerque,NM,87121,"$13,455.69","$45,174.41","$58,630.10"
HIGH DESERT RELIEF-NM-528 105 RETAIL,3410 NM-528 105,Albuquerque,NM,87114,"$31,008.02","$25,851.52","$56,859.54"
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,1245 Riley Way,Chaparral,NM,88081,"$1,201.39","$18,032.18","$19,233.57"
GARDEN OF DREAMS CANNABIS LLC,5300 Mcnutt Rd,Santa Teresa,NM,88008,"$1,859.74","$34,253.93","$36,113.67"
BOUTIQUE HIGH - LOMAS BLVD RETAIL,13025 Lomas Blvd NE Ste B,Albuquerque,NM,87112,"$12,294.36","$44,375.29","$56,669.64"
LUNA LEAF LLC - RIDGECREST DR RETAIL,2017 Ridgecrest Dr SE,Albuquerque,NM,87108,"$14,730.02","$41,927.27","$56,657.28"
GLENRIO SMOKE STOP LLC/ RETAIL ROUTE 66,105 Route 66,Glenrio,NM,88434,"$2,574.05","$284,214.81","$286,788.86"
