Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
THE VERDES FOUNDATION  SHELBY ST RETAIL,220 Shelby St,Santa Fe,NM,87501,"$30,550.50","$103,625","$134,175.50"
"THE VERDES FOUNDATION - ZAFARANO, SF",3530 Zafarano Dr Ste C5,Santa Fe,NM,87507,"$73,889.72","$150,386","$224,275.72"
SUNSHINE PHARM,411 Rankin Rd NE,Albuquerque,NM,87107,"$1,985.47","$2,030.84","$4,016.31"
EASTER LLC - MENAUL BLVD RETAIL,4505 Menaul Blvd NE,Albuquerque,NM,87110,"$2,098","$1,333.99","$3,431.99"
TILLYS CANNABIS CONSORTIUM - GRAND RETAIL,327 S Grand,Las Vegas,NM,87701,"$7,652.92","$7,914.30","$15,567.22"
TKO CANNABIS LLC - CANAL RETAIL,1215 S Canal St,Carlsbad,NM,88220,"$1,340.40","$13,433.42","$14,773.82"
TKO CANNABIS LLC - PIERCE RETAIL,2302 W Pierce St Ste D5  D6,Carlsbad,NM,88220,"$1,796.80","$14,426.33","$16,223.13"
TNM HOLDINGS LLC/ RETAIL WHEELER AVENUE,800 Wheeler Avenue,Texico,NM,88135,"$1,614.51","$108,433.82","$110,048.34"
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,1999 Futurity Drive,Sunland Park,NM,88063,$246.26,"$2,750.20","$2,996.46"
TOOT TOOT PROPERTIES LLC/ RETAIL US HWY 54,124 US Hwy 54,Logan,NM,88426,"$1,661.50","$11,962.96","$13,624.46"
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,401 Anthony Dr Ste B,Anthony,NM,88021,"$11,954.74","$53,354.67","$65,309.41"
TOP SHELF - HISTORICAL HWY RETAIL,815 E Historical Hwy. E 66,Gallup,NM,87301,$798.95,"$11,701.98","$12,500.93"
TREE AMIGOS CANNABIS LLC - CANYON RETAIL,221 S. Canyon St,Carlsbad,NM,88220,"$14,707","$58,075.42","$72,782.42"
TREEHOUSE CANNABIS LLC - WEST AVE RETAIL,830 W Avenue D,Lovington,NM,88260,"$3,011","$1,086.55","$4,097.55"
TREEZ LLC/ RETAIL W BROADWAY,816 West Broadway,Bloomfield,NM,87413,"$5,127.89","$43,562.10","$48,689.99"
WATTS INDUSTRIES LLC - 4TH ST RETAIL,1011 4th St. NW,Albuquerque,NM,87102,"$2,317.02",$918.01,"$3,235.03"
"NUEVO BRAND LLC- JUAN TABO BLVD NE SUITE C.5, RETAIL","1228 Juan Tabo Blvd NE Suite C.5,",Albuquerque,NM,87112,$876.04,"$2,035.27","$2,911.31"
TRU HIGH CROP LLC - RETAIL N DAL PASO ST,1710 W. Joe Harvey Blvd Ste G,Hobbs,NM,88240,"$2,487.51","$88,422.10","$90,909.61"
TRU LUV BUD LLC - HWY 14 RETAIL,2860 State Hwy 14 N A1,Madrid,NM,87010,$403,"$2,003.57","$2,406.57"
TURQUOISE BLOOM INC/ RETAIL WYATT DR,162 Wyatt Dr,Las Cruces,NM,88005,"$3,637.85","$4,839.02","$8,476.87"
UNCLE ROYS - W ROUTE 66 RETAIL,711 W Route 66,Milan,NM,87021,"$14,285.32","$34,423.27","$48,708.59"
THE PRIVATE STASH LLC - WYOMING BLVD RETAIL,2527 Wyoming Blvd NE,Albuquerque,NM,87112,"$1,521.80","$1,288.20","$2,810"
DREAMWEAVER LLC - CORONA LOOP RETAIL,8367 Corona Loop NE,Albuquerque,NM,87113,,"$2,414.37","$2,414.37"
"HOUSE OF BLAZE, LLC - MENAUL RETAIL",5005 Menaul Blvd NE,Albuquerque,NM,87110,"$1,028","$1,042.06","$2,070.06"
WEED AND READ LTD LLC,1017 San Mateo SE,Albuquerque,NM,87108,$286.82,"$1,710.41","$1,997.23"
URBAN WELLNESS - HOBBS DISPENSARY,"236 E. Navajo Dr. Suites: N-800 , O-700",Hobbs,NM,88240,"$23,562.87","$116,135.65","$139,698.52"
H2H DISTRIBUTION LLC - 2400 JUAN TABO RETAILER,2400 Juan Tabo Blvd NE Suite B,Albuquerque,NM,87112,$198.70,"$1,399.90","$1,598.60"
URBAN WELLNESS - LAS CRUCES DISPENSARY,3830 E Lohman Ave Building-2,Las Cruces,NM,88011,"$18,302.59","$29,241.72","$47,544.31"
LAZYDAZE ABQ LLC - EUBANK CONS / RTLR,1812 Eubank Blvd NE,Albuquerque,NM,87112,$335,$620,$955
MOUNTAIN DESERT HEALTH,"4411 Montano Rd NW, Suite F",Albuquerque,NM,87120,$69.44,$449.19,$518.63
URBAN WELLNESS - RIO RANCHO DISPENSARY,1660 NM  528 SE Ste 105,Rio Rancho,NM,87124,"$68,156.57","$157,100.26","$225,256.83"
FUEGO CANNABIS LLC - MENAUL BLVD RETAIL,9635 Menaul Blvd NE,Albuquerque,NM,87112,$24.50,$415,$439.50
URBAN WELLNESS - US 550 RETAILER,115-US 550,Bernalillo,NM,87004,"$33,444.86","$72,138.66","$105,583.52"
VANA SOCIETY LLC,205 Wheeler Ave,Texico,NM,88135,"$2,293.45","$119,050.99","$121,344.44"
VANA SOCIETY LLC,"3608 N Prince Street, Suite E",Clovis,NM,88101,"$7,376.07","$75,850","$83,226.07"
OCC ABQ LLC- MANUFACTURER,315 San Pedro NE Suite C,Albuquerque,NM,87108,$218.75,-$13,$205.75
VIRTUOUS CANNABIS LLC/ RETAIL GAVILAN CANYON RD,412 Gavilan Canyon Rd Lot 8,Ruidoso,NM,88345,"$2,040.01","$6,432.39","$8,472.40"
VT INDUSTRIES LLC/ RETAIL W RIVER STREET,320 W River Street,Red River,NM,87558,"$5,767.15","$53,172.67","$58,939.82"
TROPICS B LLC - 138 HARVARD DR SE CONS/RETAIL,138 Harvard Dr SE,Albuquerque,NM,87106,$20.20,$108.16,$128.36
MARCOS ANTONIO PAGAN CARTIGIANO - SAN PEDRO - RETAIL,301 San Pedro NE,Albuquerque,NM,87108,,$5.60,$5.60
THE VERDES FOUNDATION  6005 CORONADO PRODUCER,6005 Coronado Ave NE,Albuquerque,NM,87109,,-$45,-$45
WHEEED LLC - LOS ALAMOS RETAIL,555 Oppenheimer Dr Ste 100,Los Alamos,NM,87544,"$20,108.14","$50,620.90","$70,729.04"
WILLOW SPRINGS CANNABIS LLC - CLAYTON ROAD RETAILER,215 Clayton Rd,Raton,NM,87740,"$4,664.04","$31,913.43","$36,577.47"
"WONDERLAND, LLC - BENDER RETAIL",616 E Bender Blvd,Hobbs,NM,88240,"$1,480.28","$5,381.51","$6,861.79"
YERBA BUENA/ RETAIL TUCUMCARI BLVD,123 Tucumcari Blvd,Tucumcari,NM,88401,"$8,699.68","$18,637.36","$27,337.04"
ZIA COLLECTIVE DISPENSARY- SOLANO RETAIL,951 N Solano Dr Suite B,Las Cruces,NM,88001,$261.64,$218.78,$480.42
ZIA DYNASTYS TREEHOUSE,4883 Highway 314,Los Lunas,NM,87031,$850.15,"$5,173.67","$6,023.82"
ZIA TOKE LLC,199 S Butler,Farmington,NM,87401,"$5,958.60","$25,672.55","$31,631.15"
ZIA TOKE LLC - MAIN ST RETAIL,4339 E Main St,Farmington,NM,87402,"$14,954.37","$76,685.66","$91,640.03"
ZS BUD BOARD LLC - MECHEM RETAIL,356 A Sudderth Drive,Ruidoso,NM,88345,"$12,376.08","$21,202.70","$33,578.78"
